model,spec,intercept,se_intercept,p_intercept,b_intent,se_intent,p_intent,b_outcome,se_outcome,p_outcome,b_interaction,se_interaction,p_interaction,cell_neutral,cell_accidental,cell_attempted,cell_intentional,diag_attempted_minus_accidental,saturating_factor,var_scenario_group,var_residual,converged,n_obs,n_groups,n_stories,note
Qwen/Qwen2_5-3B-Instruct,template_absorbed,0.34615225001381145,0.0146572726185799,2.6140265220551234e-123,0.042301068376068666,0.008952927497400438,2.3030693209561872e-06,0.2944247509123403,0.008866564238248302,8.765991173772314e-242,-0.05397029914529951,0.012454114067707217,1.4673608473906269e-05,0.3775186965811966,0.6707947052947053,0.419819764957265,0.6591254745254744,-0.25097494033744033,outcome,0.006173937466924511,0.01777064732011167,True,3874,53,298,
Qwen/Qwen2_5-3B,primary,0.6236188623993854,0.006585877341741385,0.0,0.002632371794871847,0.003677714418890875,0.4741377211117336,0.05222539331928423,0.0036368073946009736,9.192061022715384e-47,-0.009866138028638064,0.0051159439071317946,0.05379198772346043,0.6158867521367521,0.6717474525474526,0.6185191239316239,0.6645136863136862,-0.05322832861582871,outcome,0.0019179823914182298,0.005434281588360678,False,3874,53,298,
Qwen/Qwen2_5-3B,template_absorbed,0.7134977682196453,0.005225728038620149,0.0,0.0026323717948716174,0.0026387541655783745,0.31848243554225275,0.052242943496095734,0.0026163718663536053,1.051746426593708e-88,-0.00986613802863778,0.0036706815043786277,0.007191975107086138,0.6158867521367521,0.6717474525474526,0.6185191239316239,0.6645136863136862,-0.05322832861582871,outcome,0.0009435305362571367,0.0018408177594165357,True,3874,53,298,
Qwen/Qwen2_5-7B-Instruct,primary,0.3106296198536425,0.012720411292810686,1.0544440653512009e-131,0.10400160256410214,0.011980556815814053,3.927683337850111e-18,0.347222365308405,0.011848733365532287,9.062641179635511e-189,-0.1264839202464198,0.016665746619987598,3.212558631916807e-14,0.30378525641025644,0.6526927072927073,0.40778685897435896,0.6302103896103896,-0.24490584831834838,outcome,0.004509496478612889,0.024217965133301683,True,3874,53,298,
Qwen/Qwen2_5-7B-Instruct,template_absorbed,0.3914631959114084,0.01424905669874788,3.699300857379406e-166,0.10400160256410138,0.011980552564502167,3.927576951425015e-18,0.3472224379547867,0.011848725911572574,9.056111652962916e-189,-0.12648392024641897,0.01666574070613169,3.2124918665185436e-14,0.30378525641025644,0.6526927072927073,0.40778685897435896,0.6302103896103896,-0.24490584831834838,outcome,0.004508848671112581,0.01331339515595911,True,3874,53,298,
Qwen/Qwen2_5-7B,primary,0.44456389274941055,0.005259259548601964,0.0,0.007583653846153901,0.0030972493895769677,0.014344745245221542,0.05812613984368005,0.003070342837383179,6.2771462702229156e-80,-0.017180157342657414,0.004308478674168675,6.676676378746646e-05,0.4390404914529914,0.4996145854145854,0.44662414529914535,0.49001808191808194,-0.052990440115440074,outcome,0.0011886817276650203,0.003972603061480668,False,3874,53,298,
Qwen/Qwen2_5-7B,template_absorbed,0.3429479360645075,0.005047373556055032,0.0,0.007583653846153437,0.002555082942412731,0.0029968034226690735,0.05808568619960124,0.002532686833094813,2.1083285671399682e-116,-0.017180157342657133,0.003554289301069482,1.3405846687990758e-06,0.4390404914529914,0.4996145854145854,0.44662414529914535,0.49001808191808194,-0.052990440115440074,outcome,0.0009399907954144034,0.0013508086341284988,True,3874,53,298,
allenai/Llama-3_1-Tulu-3-8B,primary,0.1755036250016132,0.01529230005465582,1.7294672736361682e-30,0.14378205128205088,0.014945864481864643,6.570987782409405e-22,0.5339825329187569,0.014789514581325288,1.8605691378861303e-285,-0.16146366966366943,0.02079068563346268,8.090507604401735e-15,0.17639241452991453,0.705188011988012,0.3201744658119658,0.6875063936063935,-0.38501354617604616,outcome,0.006082682431095061,0.01348841616543053,True,3874,53,298,
allenai/Llama-3_1-Tulu-3-8B,template_absorbed,0.2943921966283972,0.016131899005384517,2.1045144704636162e-74,0.14378205128205354,0.014946379887060518,6.59221416759722e-22,0.5339822013991012,0.014790020215571338,1.947005909664735e-285,-0.16146366966367234,0.0207914025961659,8.107622582292684e-15,0.17639241452991453,0.705188011988012,0.3201744658119658,0.6875063936063935,-0.38501354617604616,outcome,0.006082173109546097,0.008518111616158763,True,3874,53,298,
allenai/OLMo-2-1124-7B-Instruct,primary,0.14740830071354075,0.016256316219382522,1.2149382520157255e-19,0.09298504273504396,0.016989912631908376,4.425902592877305e-08,0.7351512800634956,0.01679085013601621,0.0,-0.11010881895882028,0.023634091751508626,3.179069183862273e-06,0.14758194444444445,0.8804752247752248,0.24056698717948719,0.8633514485514485,-0.6399082375957376,outcome,0.005908874410752582,0.028249804831724436,True,3874,53,298,
