direction,alpha,contrast,dcontrast,ppl,ppl_ratio,refusal_rate,refusal_delta,degenerate_frac,answer_rate,answer_drop,coherent,cell_neutral,cell_accidental,cell_attempted,cell_intentional
random0,0.3,-0.4586,-0.0134,15.387,1.417,0.0,0.0,0.0,1.0,0.0,True,0.1599,0.8575,0.3966,0.835
random1,-0.3,-0.4107,0.0345,16.743,1.542,0.0,0.0,0.0,1.0,0.0,False,0.1889,0.8666,0.46,0.8475
random1,-0.2,-0.4738,-0.0286,11.366,1.047,0.0,0.0,0.0,1.0,0.0,True,0.1262,0.8351,0.3616,0.8158
random1,-0.15,-0.4796,-0.0344,11.418,1.052,0.0,0.0,0.0,1.0,0.0,True,0.1163,0.8169,0.3363,0.7979
random1,-0.1,-0.4748,-0.0296,10.978,1.011,0.0,0.0,0.0,1.0,0.0,True,0.1132,0.8048,0.3274,0.7837
random1,-0.05,-0.463,-0.0178,10.867,1.001,0.0,0.0,0.0,1.0,0.0,True,0.115,0.7859,0.3187,0.7643
random1,-0.025,-0.4551,-0.0099,10.843,0.999,0.0,0.0,0.0,1.0,0.0,True,0.1164,0.7743,0.314,0.7527
random1,0.025,-0.434,0.0112,10.89,1.003,0.0,0.0,0.0,1.0,0.0,True,0.1215,0.7471,0.3055,0.7256
random1,0.05,-0.4213,0.0239,10.963,1.01,0.0,0.0,0.0,1.0,0.0,True,0.1252,0.732,0.3018,0.7106
random1,0.1,-0.3953,0.0499,11.053,1.018,0.0,0.0,0.0,1.0,0.0,True,0.1337,0.6997,0.2928,0.6776
random1,0.15,-0.3708,0.0744,11.11,1.023,0.0,0.0,0.0,1.0,0.0,True,0.1453,0.6641,0.2794,0.6406
random1,0.2,-0.3569,0.0883,12.626,1.163,0.0,0.0,0.0,1.0,0.0,True,0.1598,0.6359,0.2644,0.6094
random1,0.3,-0.3212,0.124,14.479,1.334,0.0,0.0,0.0,1.0,0.0,True,0.1665,0.5519,0.2113,0.5279
