direction,alpha,coherent,probe_layer,position,target,acc_unsteered,acc_steered,d_acc,margin_shift_sd,margin_sd_ratio,dcontrast
intent_dom,0.3,False,24,downstream,intent,0.8926,0.5101,-0.3826,1.5785,0.7489,0.1852
intent_dom,0.3,False,24,downstream,outcome,0.9966,0.8993,-0.0973,0.2177,0.5266,0.1852
intent_dom,0.3,False,32,final layer,intent,0.8624,0.5369,-0.3255,1.2704,0.7847,0.1852
intent_dom,0.3,False,32,final layer,outcome,0.9899,0.9329,-0.057,0.1921,0.5461,0.1852
outcome_dom,-0.3,False,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.1126
outcome_dom,-0.3,False,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.1126
outcome_dom,-0.3,False,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.1126
outcome_dom,-0.3,False,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.1126
outcome_dom,-0.3,False,24,downstream,intent,0.8926,0.6376,-0.255,-0.608,0.8019,0.1126
outcome_dom,-0.3,False,24,downstream,outcome,0.9966,0.4866,-0.5101,-0.7497,0.2261,0.1126
outcome_dom,-0.3,False,32,final layer,intent,0.8624,0.5503,-0.3121,-1.2235,0.7866,0.1126
outcome_dom,-0.3,False,32,final layer,outcome,0.9899,0.4899,-0.5,-0.711,0.2427,0.1126
outcome_dom,-0.2,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.1448
outcome_dom,-0.2,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.1448
outcome_dom,-0.2,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.1448
outcome_dom,-0.2,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.1448
outcome_dom,-0.2,True,24,downstream,intent,0.8926,0.745,-0.1477,-0.3965,0.9025,0.1448
outcome_dom,-0.2,True,24,downstream,outcome,0.9966,0.6376,-0.3591,-0.5506,0.507,0.1448
outcome_dom,-0.2,True,32,final layer,intent,0.8624,0.6913,-0.1711,-0.4344,0.9073,0.1448
outcome_dom,-0.2,True,32,final layer,outcome,0.9899,0.7081,-0.2819,-0.4827,0.5119,0.1448
outcome_dom,-0.15,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.1003
outcome_dom,-0.15,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.1003
outcome_dom,-0.15,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.1003
outcome_dom,-0.15,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.1003
outcome_dom,-0.15,True,24,downstream,intent,0.8926,0.7852,-0.1074,-0.2933,0.9442,0.1003
outcome_dom,-0.15,True,24,downstream,outcome,0.9966,0.8691,-0.1275,-0.4063,0.6722,0.1003
outcome_dom,-0.15,True,32,final layer,intent,0.8624,0.7651,-0.0973,-0.3882,0.9376,0.1003
outcome_dom,-0.15,True,32,final layer,outcome,0.9899,0.8658,-0.1242,-0.4075,0.6804,0.1003
outcome_dom,-0.1,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.0256
outcome_dom,-0.1,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.0256
outcome_dom,-0.1,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.0256
outcome_dom,-0.1,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.0256
outcome_dom,-0.1,True,24,downstream,intent,0.8926,0.8423,-0.0503,-0.1973,1.0183,0.0256
outcome_dom,-0.1,True,24,downstream,outcome,0.9966,0.953,-0.0436,-0.2452,0.847,0.0256
outcome_dom,-0.1,True,32,final layer,intent,0.8624,0.8322,-0.0302,-0.1514,1.0097,0.0256
outcome_dom,-0.1,True,32,final layer,outcome,0.9899,0.953,-0.0369,-0.28,0.8586,0.0256
outcome_dom,-0.05,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.0049
outcome_dom,-0.05,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.0049
outcome_dom,-0.05,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.0049
outcome_dom,-0.05,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.0049
outcome_dom,-0.05,True,24,downstream,intent,0.8926,0.8758,-0.0168,-0.0271,1.0394,0.0049
outcome_dom,-0.05,True,24,downstream,outcome,0.9966,0.9933,-0.0034,-0.1545,0.9653,0.0049
outcome_dom,-0.05,True,32,final layer,intent,0.8624,0.8557,-0.0067,0.0156,1.0257,0.0049
outcome_dom,-0.05,True,32,final layer,outcome,0.9899,0.9866,-0.0034,-0.1494,0.9627,0.0049
outcome_dom,-0.025,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0018
outcome_dom,-0.025,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0018
outcome_dom,-0.025,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0018
outcome_dom,-0.025,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0018
outcome_dom,-0.025,True,24,downstream,intent,0.8926,0.8826,-0.0101,-0.0119,1.0218,-0.0018
outcome_dom,-0.025,True,24,downstream,outcome,0.9966,0.9966,0.0,-0.0798,0.9891,-0.0018
outcome_dom,-0.025,True,32,final layer,intent,0.8624,0.8523,-0.0101,0.0097,1.0158,-0.0018
outcome_dom,-0.025,True,32,final layer,outcome,0.9899,0.9933,0.0034,-0.0763,0.987,-0.0018
outcome_dom,0.025,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.0164
