direction,alpha,contrast,dcontrast,ppl,ppl_ratio,refusal_rate,refusal_delta,degenerate_frac,answer_rate,answer_drop,coherent,cell_neutral,cell_accidental,cell_attempted,cell_intentional
random0,0.025,-0.2653,0.0014,11.865,1.002,0.0,0.0,0.0,1.0,0.0,True,0.3103,0.8005,0.538,0.7585
random0,0.05,-0.264,0.0027,11.905,1.006,0.0,0.0,0.0,1.0,0.0,True,0.3097,0.7973,0.5361,0.7557
random0,0.1,-0.2616,0.0051,12.038,1.017,0.0,0.0,0.0,1.0,0.0,True,0.3087,0.7905,0.5315,0.7497
random0,0.15,-0.2585,0.0082,12.169,1.028,0.0,0.0,0.0,1.0,0.0,True,0.3082,0.7822,0.5262,0.743
random0,0.2,-0.2557,0.0109,12.328,1.041,0.0,0.0,0.0,1.0,0.0,True,0.3084,0.7731,0.5197,0.7361
random0,0.3,-0.2459,0.0207,12.71,1.074,0.0,0.0,0.0,1.0,0.0,True,0.3106,0.7517,0.5073,0.7225
random1,-0.3,-0.2133,0.0534,12.962,1.095,0.0,0.0,0.0,1.0,0.0,True,0.3673,0.7484,0.5363,0.7274
random1,-0.2,-0.2352,0.0315,12.599,1.064,0.0,0.0,0.0,1.0,0.0,True,0.3511,0.7766,0.5433,0.7473
random1,-0.15,-0.2443,0.0223,12.4,1.048,0.0,0.0,0.0,1.0,0.0,True,0.3425,0.7871,0.545,0.7546
random1,-0.1,-0.2525,0.0141,12.196,1.03,0.0,0.0,0.0,1.0,0.0,True,0.3328,0.7949,0.545,0.7594
random1,-0.05,-0.2595,0.0072,12.005,1.014,0.0,0.0,0.0,1.0,0.0,True,0.3222,0.8002,0.5435,0.7615
random1,-0.025,-0.2631,0.0035,11.92,1.007,0.0,0.0,0.0,1.0,0.0,True,0.3169,0.8021,0.5418,0.7615
random1,0.025,-0.2699,-0.0032,11.737,0.992,0.0,0.0,0.0,1.0,0.0,True,0.3051,0.8039,0.5367,0.7603
random1,0.05,-0.2732,-0.0066,11.667,0.986,0.0,0.0,0.0,1.0,0.0,True,0.2991,0.8039,0.5333,0.7586
random1,0.1,-0.2792,-0.0125,11.544,0.975,0.0,0.0,0.0,1.0,0.0,True,0.2874,0.8025,0.5255,0.7547
random1,0.15,-0.284,-0.0173,11.392,0.962,0.0,0.0,0.0,1.0,0.0,True,0.276,0.7995,0.5168,0.7486
random1,0.2,-0.2869,-0.0202,11.254,0.951,0.0,0.0,0.0,1.0,0.0,True,0.2656,0.7954,0.5085,0.7404
random1,0.3,-0.2844,-0.0177,10.96,0.926,0.0,0.0,0.0,1.0,0.0,True,0.2476,0.782,0.4935,0.718
