model,level,level_name,cumulative,components,n_templates,n_groups,n_cells,contrast,contrast_lo,contrast_hi,d_contrast,d_lo,d_hi,d_neutral,d_accidental,d_attempted,d_intentional,b_intent,b_outcome,b_interaction,b0,mean_neutral,mean_accidental,mean_attempted,mean_intentional,rating_std,extreme_frac,n_ratings
allenai/OLMo-2-1124-7B-Instruct,2,belief_cue,True,cue,7,53,371,-0.6485774399146451,-0.6944058990084713,-0.6046312029003819,0.038238058737645964,-0.014909342187882896,0.08279048305732922,-0.05530505952380953,-0.10508463611859842,-0.06684657738095237,-0.1282928571428572,0.11110803571428572,0.7596854756289307,-0.15063162061994623,0.039123958333333334,0.039123958333333334,0.7988094339622641,0.15023199404761906,0.7592858490566037,0.40299830685842897,0.3408437200383509,2086.0
allenai/OLMo-2-1124-7B-Instruct,3,worked_example,True,cue+worked,7,53,371,-0.48236379997753825,-0.5240528841185227,-0.44043910544192866,0.20445169867475282,0.13960855561654603,0.263690949872621,-0.07361696428571429,-0.35701226415094334,-0.15256056547619046,-0.3739510781671159,0.04370595238095239,0.5260697523584906,-0.0769601302785266,0.02081205357142857,0.02081205357142857,0.5468818059299192,0.06451800595238096,0.513627628032345,0.32195745181710117,0.31543624161073824,2086.0
mistralai/Mistral-7B-Instruct-v0.3,1,baseline,True,none,7,53,371,-0.4603357030548068,-0.5020095894401392,-0.41988277375551986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1269029761904762,0.5872386792452831,-0.1345835691823899,0.17520714285714284,0.17520714285714284,0.7624458221024258,0.30211011904761903,0.7547652291105121,0.3357086311252296,0.13662511984659637,2086.0
mistralai/Mistral-7B-Instruct-v0.3,2,belief_cue,True,cue,7,53,371,-0.44182612309074565,-0.4829836786780075,-0.4013227966784591,0.018509579964061162,-0.007083951415094157,0.045066169669215464,-0.0648160714285714,-0.03998517520215639,-0.021475595238095224,0.00210229110512139,0.17024345238095237,0.612069575471698,-0.1358365790655883,0.11039107142857144,0.11039107142857144,0.7224606469002695,0.2806345238095238,0.7568675202156335,0.3416074979561572,0.19463087248322147,2086.0
mistralai/Mistral-7B-Instruct-v0.3,3,worked_example,True,cue+worked,7,53,371,-0.2658421889038634,-0.29565552297843667,-0.23894594491722998,0.1944935141509434,0.1586392228850158,0.23047195583811866,-0.02421830357142854,-0.2702336927223719,-0.07574017857142851,-0.24739353099730454,0.07538110119047622,0.3412232900943396,-0.06022153245732256,0.1509888392857143,0.1509888392857143,0.49221212938005393,0.22636994047619052,0.5073716981132076,0.2640695853691493,0.09491850431447747,2086.0
unsloth/gemma-2-9b-it,1,baseline,True,none,7,53,371,-0.37480925146001803,-0.43380203207455487,-0.3128166573999732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26638273809523805,0.6411919895552561,-0.27335079739442947,0.17296919642857142,0.17296919642857142,0.8141611859838276,0.43935193452380944,0.8071931266846362,0.35640904417520414,0.27325023969319273,2086.0
unsloth/gemma-2-9b-it,2,belief_cue,True,cue,7,53,371,-0.23370185590745735,-0.28888285216923776,-0.17500815515447443,0.1411073955525607,0.10497366682949953,0.1759510445784092,-0.05874508928571427,-0.10985471698113225,0.03125267857142866,-0.04840188679245283,0.35638050595238097,0.5900823618598382,-0.30189573506289297,0.11422410714285715,0.11422410714285715,0.7043064690026953,0.4706046130952381,0.7587912398921833,0.33482390254950406,0.22099712368168745,2086.0
unsloth/gemma-2-9b-it,3,worked_example,True,cue+worked,7,53,371,-0.2361852734725967,-0.284959658747797,-0.18277221393480392,0.13862397798742132,0.08863325815386434,0.1869312596384506,-0.10047053571428571,-0.27276266846361186,-0.13413869047619043,-0.1883156334231807,0.2327145833333333,0.46889985680593005,-0.15523560759209357,0.0724986607142857,0.0724986607142857,0.5413985175202157,0.305213244047619,0.6188774932614555,0.3055247653908848,0.20517737296260785,2086.0
allenai/OLMo-2-1124-7B-Instruct,4,few_shot_adult,True,cue+worked+fewshot,7,53,371,-0.7060982704402516,-0.7534462751893208,-0.660021073211478,-0.019282771787960562,-0.06400711721486545,0.02391952873945462,-0.041370535714285714,-0.052401752021563386,-0.07168452380952381,-0.06962520215633416,0.09233556547619047,0.798433835916442,-0.1258743794923629,0.05305848214285715,0.05305848214285715,0.8514923180592991,0.14539404761904762,0.8179535040431267,0.40849489082997364,0.27037392138063276,2086
allenai/OLMo-2-1124-7B-Instruct,5,intent_principle,True,cue+worked+fewshot+principle,7,53,371,-0.4338110540206648,-0.4678106553824124,-0.3999929189586886,0.2530044446316263,0.2008118278301887,0.299706963275543,-0.04960565476190477,-0.37370161725067397,-0.12069717261904762,-0.39090471698113205,0.05155803571428571,0.48536908973495047,-0.08507649932614542,0.04482336309523809,0.04482336309523809,0.5301924528301886,0.0963813988095238,0.49667398921832884,0.27453867354668393,0.11313518696069032,2086
allenai/OLMo-2-1124-7B-Instruct,6,ABL_worked_only,False,worked,7,53,371,-0.593088555705301,-0.6306123674191375,-0.5535444002695419,0.09372694294699013,0.034550581629902585,0.14530486596837894,-0.05929360119047619,-0.22197277628032352,-0.12824583333333334,-0.24497722371967667,0.05369732142857142,0.6467858771338724,-0.09301713274932619,0.03513541666666667,0.03513541666666667,0.681921293800539,0.08883273809523809,0.6426014824797842,0.34449335475083603,0.24496644295302014,2086
allenai/OLMo-2-1124-7B-Instruct,7,ABL_fewshot_only,False,fewshot,7,53,371,-0.6399483265947887,-0.7069251245528057,-0.571562170269492,0.04686717205750235,-0.003414737357206873,0.09605036678367407,0.035468452380952364,0.027583423180592814,0.07445059523809525,0.021306199460916497,0.16163169642857145,0.8015800230233601,-0.18422428402964935,0.12989747023809523,0.12989747023809523,0.9314774932614553,0.2915291666666667,0.9088849056603774,0.4026905132283983,0.3149568552253116,2086
allenai/OLMo-2-1124-7B-Instruct,8,ABL_principle_only,False,principle,7,53,371,-0.4363599674303683,-0.48571070582815334,-0.3874812046065057,0.25045553122192277,0.194679693892298,0.29890275729728216,-0.019190476190476202,-0.22363975741239894,0.026815773809523852,-0.19525188679245276,0.16865580357142862,0.6050157710017969,-0.15658329683288408,0.07523854166666666,0.07523854166666666,0.6802543126684636,0.24389434523809528,0.6923268194070081,0.34369779244281773,0.1112176414189837,2086
Qwen/Qwen2.5-14B-Instruct,4,few_shot_adult,True,cue+worked+fewshot,7,53,371,-0.20655845968104217,-0.2656836423258948,-0.14210333296710814,0.1316324376684637,0.06569025986788371,0.19008268005677575,-0.06368660714285715,-0.19335431266846353,-0.061721874999999954,0.042193396226414936,0.2155325892857143,0.4220910489667566,0.05318695249326129,0.03039345238095238,0.03039345238095238,0.45248450134770896,0.24592604166666668,0.7212040431266845,0.33572147191673624,0.37871524448705657,2086
Qwen/Qwen2.5-14B-Instruct,5,intent_principle,True,cue+worked+fewshot+principle,7,53,371,0.003548641060197699,-0.05941354447726583,0.07007273536331989,0.34173953840970356,0.27979876326059533,0.41002740689806916,-0.07787767857142858,-0.3144475741239892,0.027291964285714343,-0.005624393530997307,0.3187375,0.3151888589398023,0.02325751347708897,0.01620238095238095,0.01620238095238095,0.3313912398921833,0.334939880952381,0.6733862533692723,0.3215031074656203,0.3825503355704698,2086
Qwen/Qwen2.5-14B-Instruct,6,ABL_worked_only,False,worked,7,53,371,-0.1984060394204851,-0.2308401481409545,-0.16448819722877359,0.13978485792902076,0.09849553175281943,0.18244578868300879,-0.04670937500000001,-0.25562250673854453,-0.11583764880952377,-0.21463261455525612,0.14443958333333334,0.34284562275381847,-0.07027785826594787,0.04737068452380952,0.04737068452380952,0.39021630727762796,0.19181026785714286,0.46437803234501346,0.22846832210184512,0.2267497603068073,2086
Qwen/Qwen2.5-14B-Instruct,7,ABL_fewshot_only,False,fewshot,7,53,371,-0.5021974898921833,-0.5635602333642185,-0.43881431906320484,-0.1640065925426774,-0.22641423910699635,-0.10751123183273123,-0.06974955357142859,0.052180997304582255,-0.11182559523809521,0.09175525606469004,0.17149181547619047,0.6736893053683738,-0.09874572383198565,0.024330505952380947,0.024330505952380947,0.6980198113207547,0.19582232142857142,0.7707659029649596,0.3888983331963306,0.4841802492809204,2086
Qwen/Qwen2.5-14B-Instruct,8,ABL_principle_only,False,principle,7,53,371,-0.004051482479784263,-0.03462878238626989,0.025796323281671123,0.3341394148697216,0.29137973775831083,0.3761072105605215,-0.04329226190476192,-0.3568516172506739,-0.022712202380952284,-0.30063382749326156,0.23414791666666673,0.238199399146451,-0.14475829402515733,0.050787797619047614,0.050787797619047614,0.2889871967654986,0.28493571428571435,0.378376819407008,0.17613221200275467,0.20325982742090123,2086
unsloth/gemma-2-9b-it,4,few_shot_adult,True,cue+worked+fewshot,7,53,371,-0.33169607479784374,-0.39607538779109164,-0.2662754180827376,0.04311317666217429,-0.021811655504465875,0.10686477284574106,-0.113221875,-0.18995350404312672,-0.14684032738095226,-0.1104981132075471,0.23276428571428576,0.5644603605121294,-0.16027695417789756,0.05974732142857143,0.05974732142857143,0.6242076819407009,0.2925116071428572,0.6966950134770891,0.3345578414861173,0.2809204218600192,2086
unsloth/gemma-2-9b-it,5,intent_principle,True,cue+worked+fewshot+principle,7,53,371,-0.2646856749775382,-0.32977242452102135,-0.19973018934973788,0.11012357648247983,0.04891296576447282,0.17218863581158853,-0.12705342261904762,-0.25740795148247986,-0.1472843749999999,-0.14244959568733162,0.2461517857142857,0.5108374606918239,-0.13816148921832888,0.045915773809523816,0.045915773809523816,0.5567532345013477,0.29206755952380953,0.6647435309973045,0.354736681977724,0.36145733461169705,2086
unsloth/gemma-2-9b-it,6,ABL_worked_only,False,worked,7,53,371,-0.24247707771787963,-0.28504251313751916,-0.19772089055077566,0.1323321737421384,0.08246474463724154,0.18093507935711417,-0.06192127976190476,-0.26123827493261453,-0.12890610119047613,-0.20543261455525608,0.19939791666666665,0.44187499438454636,-0.1505603155884996,0.11104791666666666,0.11104791666666666,0.552922911051213,0.3104458333333333,0.6017605121293801,0.27834087968973115,0.14285714285714285,2086
unsloth/gemma-2-9b-it,7,ABL_fewshot_only,False,fewshot,7,53,371,-0.4556785208894879,-0.5185863219007277,-0.38977629080563037,-0.08086926942946987,-0.1411539036733293,-0.02133099538845176,-0.09878705357142856,-0.0850549865229111,-0.16592425595238086,-0.053376819407008,0.19924553571428572,0.6549240566037736,-0.17453542789757404,0.07418214285714286,0.07418214285714286,0.7291061994609165,0.2734276785714286,0.7538163072776282,0.3597918217838156,0.31543624161073824,2086
